word,avg_green,avg_yellow,avg_grey,entropy,avg_green_scaled,avg_yellow_scaled,avg_grey_scaled,entropy_scaled,TYPE,GREEN,YELLOW,GREY,ENTROPY
punks,0.52,0.63,3.85,5.33,0.612,0.362,0.468,0.821,,,,,
quits,0.53,0.71,3.76,4.95,0.624,0.408,0.426,0.762,,,,,
rabat,0.37,0.81,3.82,4.57,0.435,0.466,0.454,0.703,,,,,
rafts,0.57,1.09,3.34,5.63,0.671,0.626,0.231,0.868,,,,,
rages,0.71,1.24,3.05,6.15,0.835,0.713,0.097,0.949,,,,,
raine,0.53,1.31,3.17,5.99,0.624,0.753,0.153,0.924,,,,,
ramps,0.55,1.03,3.43,5.67,0.647,0.592,0.273,0.874,,,,,
ranke,0.46,1.19,3.35,5.58,0.541,0.684,0.236,0.860,,,,,
rapes,0.71,1.28,3.02,6.24,0.835,0.736,0.083,0.963,,,,,
rasps,0.56,0.88,3.57,5.06,0.659,0.506,0.338,0.780,,,,,
recit,0.32,1.33,3.35,5.45,0.376,0.764,0.236,0.840,,,,,
reefs,0.52,0.99,3.49,4.86,0.612,0.569,0.301,0.748,,,,,
reels,0.58,1.13,3.29,5.33,0.682,0.649,0.208,0.821,,,,,
rheum,0.21,1.15,3.65,4.66,0.247,0.661,0.375,0.717,,,,,
ribas,0.5,1.18,3.32,5.72,0.588,0.678,0.222,0.882,,,,,
riggs,0.48,0.78,3.74,4.74,0.565,0.448,0.417,0.730,,,,,
riots,0.59,1.16,3.25,5.96,0.694,0.667,0.190,0.919,,,,,
riven,0.42,1.05,3.53,5.26,0.494,0.603,0.319,0.811,,,,,
roars,0.65,0.96,3.39,5.39,0.765,0.552,0.255,0.831,,,,,
robed,0.51,1.06,3.44,5.6,0.600,0.609,0.278,0.863,,,,,
rondo,0.34,0.78,3.88,4.57,0.400,0.448,0.481,0.703,,,,,
roped,0.51,1.08,3.41,5.71,0.600,0.621,0.264,0.880,,,,,
roved,0.51,0.99,3.51,5.42,0.600,0.569,0.310,0.835,,,,,
rummy,0.29,0.5,4.22,4.24,0.341,0.287,0.639,0.652,,,,,
runes,0.66,1.15,3.19,6.06,0.776,0.661,0.162,0.935,,,,,
russe,0.35,1.23,3.42,4.91,0.412,0.707,0.269,0.756,,,,,
saber,0.59,1.37,3.04,5.99,0.694,0.787,0.093,0.924,,,,,
sacks,0.64,0.58,3.79,4.92,0.753,0.333,0.440,0.758,,,,,
sages,0.8,0.8,3.4,5.39,0.941,0.460,0.259,0.831,,,,,
samba,0.38,0.82,3.81,4.5,0.447,0.471,0.449,0.693,,,,,
sammy,0.47,0.73,3.8,4.74,0.553,0.420,0.444,0.730,,,,,
